frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
79,3.160000,0.946667,27226.733,396.948,135.391,19.974,27779.046,0.000,46885,3895,3750,145
80,3.200000,0.933333,27570.929,377.621,131.735,14.379,28094.664,0.000,62459,5476,5288,188
81,3.240000,0.920000,25950.754,376.747,157.975,18.067,26503.543,0.000,73662,6972,6756,216
82,3.280000,0.906667,26276.028,669.263,263.041,18.145,27226.477,0.000,87959,9083,8804,279
83,3.320000,0.893333,28914.606,547.022,312.803,19.385,29793.816,0.000,109528,10715,10226,489
84,3.360000,0.880000,28627.478,475.874,409.293,16.424,29529.069,0.000,129211,12392,11650,742
85,3.400000,0.866667,28867.863,453.125,502.891,20.139,29844.018,0.000,152134,13503,12515,988
86,3.440000,0.853333,28436.314,454.530,432.172,19.473,29342.489,0.000,173787,14571,13503,1068
87,3.480000,0.840000,29095.264,456.598,511.624,19.934,30083.420,0.000,205303,15475,14296,1179
88,3.520000,0.826667,29081.764,417.106,673.798,14.660,30187.328,0.000,242964,16173,14802,1371
89,3.560000,0.813333,28279.684,507.320,775.378,16.411,29578.793,0.000,268708,16775,15343,1432
90,3.600000,0.800000,28103.778,532.324,776.270,17.896,29430.268,0.000,286286,17064,15838,1226
91,3.640000,0.786667,27505.913,402.729,592.157,13.927,28514.726,0.000,295168,17351,16376,975
92,3.680000,0.773333,27169.629,402.183,655.295,13.980,28241.087,0.000,292738,17379,16532,847
93,3.720000,0.760000,26835.036,480.168,729.782,13.961,28058.947,0.000,293236,17415,16588,827
94,3.760000,0.746667,15024.841,546.201,741.771,15.501,16328.314,0.000,284436,17357,16614,743
95,3.800000,0.733333,15628.995,427.742,712.737,15.503,16784.977,0.000,286006,17311,16601,710
96,3.840000,0.720000,15578.134,427.513,668.917,15.986,16690.550,0.000,285003,17194,16532,662
97,3.880000,0.706667,15317.815,418.604,641.041,16.468,16393.928,0.000,285397,17192,16532,660
98,3.920000,0.693333,15083.531,445.315,686.465,16.925,16232.236,0.000,291460,17170,16584,586
99,3.960000,0.680000,15847.039,549.399,882.103,14.377,17292.918,0.000,295431,17060,16468,592
100,4.000000,0.666667,16033.033,531.381,826.075,13.990,17404.479,0.000,300410,16881,16300,581
101,4.040000,0.653333,15759.552,516.377,794.894,13.936,17084.759,0.000,301366,16743,16131,612
102,4.080000,0.640000,15218.748,551.754,770.264,15.325,16556.091,0.000,309711,16639,16045,594
103,4.120000,0.626667,15254.656,449.873,726.885,18.031,16449.445,0.000,315256,16569,15947,622
104,4.160000,0.613333,14478.426,427.163,727.815,15.515,15648.919,0.000,314068,16447,15912,535
105,4.200000,0.600000,14359.100,417.502,723.701,14.037,15514.340,0.000,314180,16428,15935,493
106,4.240000,0.586667,13729.462,421.463,623.158,16.037,14790.120,0.000,299327,16359,16016,343
107,4.280000,0.573333,13181.836,410.045,829.395,19.902,14441.178,0.000,311125,16153,15822,331
108,4.320000,0.560000,14465.852,409.339,807.605,16.081,15698.877,0.000,307101,15988,15616,372
109,4.360000,0.546667,13631.951,453.157,761.407,13.935,14860.450,0.000,305225,15869,15483,386
110,4.400000,0.533333,13635.023,524.931,888.337,20.623,15068.914,0.000,302508,15800,15369,431
111,4.440000,0.520000,14318.513,446.271,666.636,13.990,15445.410,0.000,300671,15550,15167,383
112,4.480000,0.506667,13085.500,447.912,668.463,14.731,14216.606,0.000,297027,15431,15042,389
113,4.520000,0.493333,14129.719,451.447,637.624,13.924,15232.714,0.000,293653,15373,15011,362
114,4.560000,0.480000,13219.907,442.165,688.672,16.453,14367.197,0.000,291527,15326,14928,398
115,4.600000,0.466667,13686.532,548.256,788.289,19.432,15042.509,0.000,288857,15185,14821,364
116,4.640000,0.453333,15014.412,408.351,629.201,13.920,16065.884,0.000,279334,14956,14412,544
117,4.680000,0.440000,14079.832,404.194,673.252,13.930,15171.208,0.000,275332,14898,14522,376
118,4.720000,0.426667,12215.106,471.927,692.328,19.458,13398.819,0.000,267417,14629,14230,399
119,4.760000,0.413333,11646.450,405.032,596.536,14.159,12662.177,0.000,256594,14188,13697,491
120,4.800000,0.400000,10617.820,417.193,656.543,13.943,11705.499,0.000,251493,13810,13237,573
121,4.840000,0.386667,11040.301,390.854,573.098,13.955,12018.208,0.000,242608,13414,12782,632
122,4.880000,0.373333,9295.621,452.165,642.394,14.735,10404.915,0.000,231645,12805,12152,653
